experiment_id,hypothesis,change,dataset/split,blocking,features,negative sampling,model,hyperparameters,threshold,candidate recall,precision,recall,macro F0.5,singleton metrics,hard-case metrics,runtime,memory,decision
EXP-001,Raw exact string match serves as baseline lower bound,Raw name + address equality,Val 20k S1,Exact string tuple,None,None,Exact rule,N/A,1.0,0.00001,0.00005,0.00001,0.05587,1.00000,N/A,106s,<150MB,Baseline logged
EXP-002,Whitespace and punctuation cleanup improves exact recall,Normalized name + address,Val 20k S1,Norm name + address tuple,None,None,Exact rule,N/A,1.0,0.01347,0.04560,0.01347,0.08370,1.00000,N/A,106s,<150MB,Baseline logged
EXP-003,Name alone allows address noise tolerance,Normalized name only,Val 20k S1,Norm name,None,None,Exact rule,N/A,1.0,0.21958,0.40117,0.21958,0.32161,0.64190,N/A,106s,<150MB,Baseline logged
EXP-004,Legal suffix removal bridges corporate extensions,Legal-stripped name,Val 20k S1,Legal-stripped name,None,None,Exact rule,N/A,1.0,0.42761,0.46832,0.42761,0.40452,0.38675,N/A,106s,<150MB,Baseline logged
EXP-005,Token sorting handles word inversion,Token-sorted legal-stripped name,Val 20k S1,Token-sorted name,None,None,Exact rule,N/A,1.0,0.44928,0.48015,0.44928,0.41724,0.37422,N/A,106s,<150MB,Baseline logged
EXP-006,Numeric address tokens + rare name token captures address variations,Co-occurrence blocking Channel E,Val 20k S1,Name tok + addr num,None,None,Heuristic rule,N/A,N/A,0.62970,0.22150,0.62970,0.26410,0.41200,N/A,128s,<200MB,Merged into candidate union
EXP-007,Multi-channel candidate union maximises recall ceiling,Union of A+B+C+E,Val 20k S1,Union(A,B,C,E),None,None,Heuristic rule,N/A,N/A,0.76180,0.18420,0.76180,0.22100,0.34100,N/A,135s,<250MB,Candidate set approved
EXP-008,Enhanced multi-channel with compact alpha + rare stem,Enhanced Blocking v2,Val 20k S1,Union(A,B,C,E,compact,stem),None,None,Heuristic rule,N/A,N/A,0.85620,0.14120,0.85620,0.18950,0.28400,N/A,194s,<600MB,Candidate recall ceiling established
EXP-009,Mined hard negatives train LightGBM to reject generic collisions,Dense pairwise 30-dim features with hard negatives,Val 5k S1,Blocking candidate pool,30 dense features,Mined co-occurrence hard negatives,LightGBM GBDT,300 trees lr=0.08 leaves=63,tau=0.50,0.76180,0.73767,0.73601,0.69917,0.51007,N/A,355s,<2.5GB,First ML model complete
EXP-010,Precision-weighted threshold calibration matches F0.5,Threshold sweep tau in [0.50, 0.85],Val 5k S1,Blocking candidate pool,30 dense features,Mined hard negatives,LightGBM GBDT,300 trees lr=0.08 leaves=63,tau=0.85,0.76180,0.85596,0.69240,0.79506,0.82550,N/A,355s,<2.5GB,Optimal baseline threshold established
EXP-011,High threshold + relative margin gating protects singletons and resolves multi-matches,Fine-grained sweep + delta margin gating,Val 5k S1,Blocking candidate pool,30 dense features,Mined hard negatives,LightGBM GBDT,300 trees lr=0.08 leaves=63,tau=0.94 delta=0.05 k<=5,0.76180,0.88549,0.66794,0.81101,0.89933,N/A,150s,<1.2GB,Best decision engine policy selected
EXP-012,Subgroup adversarial validation across countries and cardinality,Adversarial slice test (US/India/Singletons/Multi),Val 5k S1,Blocking candidate pool,30 dense features,Mined hard negatives,LightGBM GBDT,Production policy,tau=0.94 delta=0.05 k<=5,0.76180,0.88801,0.66169,0.81172,0.89933,US:0.8799 IN:0.7147,216s,<1.8GB,Model frozen for inference
